"","VariableName","Category","VariableLabel","GreyMatterShapeR2","SE","95%CI_lowerBound","95%CI_upperBound","pvalue","AcquisitionR2","AgeR2","SexR2","HeadSizeR2","N"
"2","Amphetamines","Substance 
 use","Amphetamines",0,9.8,-19.2,19.2,0.5,-0.2,-0.1,-0.2,0.264730694157755,1086
"19","Breathalyzer_Over_05","Substance 
 use","Breathalyser over .05",14.4,12.3,-9.8,38.5,0.5,-0.2,-0.3,-0.1,-0.0596653932672719,1086
"20","Breathalyzer_Over_08","Substance 
 use","Breathalyser over .08",14.4,12.3,-9.8,38.5,0.5,-0.2,-0.3,-0.1,-0.0596653932672719,1086
"22","Cocaine","Substance 
 use","Cocaine",24.2,11.6,1.4,46.9,0.023,-0.2,0,-0.1,-0.367478765406659,1086
"79","MethAmphetamine","Substance 
 use","MethAmphetamine",27.6,12.7,2.6,52.5,0.028,0.1,-0.1,-0.2,0.122518061963417,1086
"87","Num_Days_Used_Any_Tobacco_7days","Substance 
 use","Number days used tobacco (7days)",31.3,11.7,8.4,54.2,0.0022,0.5,2.5,-0.1,1.36066241741785,1082
"89","Opiates","Substance 
 use","Opiates",56.9,13.8,30,83.9,9.6e-06,-0.1,0.2,-0.1,-0.0193908296976408,1086
"90","Oxycontin","Substance 
 use","Oxycontin",0,6.9,-13.6,13.6,0.5,0.2,-0.2,-0.1,-0.0218249349343447,1086
"124","SSAGA_Alc_12_Drinks_Per_Day","Substance 
 use","Drinks per drinking session (12mo)",33,12.2,9,57,0.011,0.5,9,1.4,0.891108985984501,1026
"125","SSAGA_Alc_12_Frq","Substance 
 use","Frequence alcohol use (12mo)",33.7,12.3,9.5,57.8,0.004,1.2,4,0.6,0.386792578952133,1027
"126","SSAGA_Alc_12_Frq_5plus","Substance 
 use","Frequence 5+ drinks (12mo)",34.1,12,10.5,57.7,0.0066,1,8.5,2.3,1.47180371163045,1027
"127","SSAGA_Alc_12_Frq_Drk","Substance 
 use","Frequency drunk (12mo)",44.7,12.5,20.2,69.1,2e-04,0.7,5.7,2.6,1.42527153874138,1027
"128","SSAGA_Alc_Age_1st_Use","Substance 
 use","Age 1st use alcohol",35.4,12.8,10.2,60.5,0.0028,1,0.2,0.1,-0.370393443311068,1027
"129","SSAGA_Alc_D4_Ab_Dx","Substance 
 use","Alcohol abuse",26.8,12.7,2,51.7,0.038,0.4,1.6,0,0.605736217777586,1084
"130","SSAGA_Alc_D4_Ab_Sx","Substance 
 use","Alcohol abuse symptoms",33.5,12.9,8.3,58.7,0.015,0.4,3,0.2,0.759892525031025,1084
"131","SSAGA_Alc_D4_Dp_Dx","Substance 
 use","Alcohol dependence",20.2,12.7,-4.6,45,0.23,0.5,2.2,0,0.0466296317362169,1084
"132","SSAGA_Alc_D4_Dp_Sx","Substance 
 use","Alcohol dependence symptoms",46.4,13,21,71.8,0.00056,0.4,6.3,0.5,0.724836318328581,1084
"137","SSAGA_FTND_Score","Substance 
 use","FTND score",0,30.3,-59.5,59.5,0.5,0.9,-0.5,0.6,-2.07183744094237,290
"138","SSAGA_HSI_Score","Substance 
 use","HSI score",0,32.5,-63.6,63.6,0.5,1.2,-0.3,0.2,-2.21452000737161,290
"140","SSAGA_Mj_Ab_Dep","Substance 
 use","Marijuana dependence",24.2,11.8,1,47.3,0.04,0.2,2.9,-0.1,0.307022089113673,1084
"141","SSAGA_Mj_Times_Used","Substance 
 use","Number times marijuana use",31.9,12.7,7,56.8,0.02,2.3,3.3,-0.1,0.473434637866998,1084
"142","SSAGA_Mj_Use","Substance 
 use","Marijuana use",0,9.5,-18.6,18.6,0.5,3.1,0.7,-0.2,-0.120188900745544,1084
"144","SSAGA_TB_Age_1st_Cig","Substance 
 use","Age first cigarette",0,14.9,-29.1,29.1,0.5,0.9,0.5,-0.7,-0.711153450910706,290
"145","SSAGA_TB_DSM_Difficulty_Quitting","Substance 
 use","Tobacco difficulty quitting",0,35.1,-68.7,68.7,0.5,0.9,-0.5,-0.4,0.762100659907006,290
"146","SSAGA_TB_DSM_Tolerance","Substance 
 use","Tobacco tolerance",0,34.3,-67.3,67.3,0.5,-0.3,-1,0.8,-0.92838600829821,290
"147","SSAGA_TB_DSM_Withdrawal","Substance 
 use","Tobacco withdrawl",0,28.7,-56.2,56.2,0.5,-0.6,-0.6,2.5,-0.867406571226259,290
"148","SSAGA_TB_Still_Smoking","Substance 
 use","Current smoker",32.8,12.4,8.5,57.2,0.0045,0.8,1,0.3,1.5082113088924,1084
"149","SSAGA_TB_Yrs_Since_Quit","Substance 
 use","Years since quitting",0,24,-47,47,0.5,0.6,-0.5,0.7,3.32963983916279,290
"150","SSAGA_TB_Yrs_Smoked","Substance 
 use","Number years smoked",0,20.3,-39.9,39.9,0.5,0.1,-0.1,21.2,0.370394563854848,290
"151","SSAGA_Times_Used_Cocaine","Substance 
 use","Number times used cocaine",18.5,11.2,-3.4,40.4,0.059,-0.1,1.3,0.3,1.1026756749504,1084
"152","SSAGA_Times_Used_Hallucinogens","Substance 
 use","Number times used hallucinogens",29.3,12.5,4.8,53.8,0.021,-0.2,3.5,0.1,-0.338677927931097,1084
"153","SSAGA_Times_Used_Illicits","Substance 
 use","Number times used illicit",19.8,11.2,-2.2,41.8,0.063,0.9,2.5,0,0.515686974362561,1084
