"V1","V2","V3","V4"
"Age_MRI","Demographics","Age","Age_MRI"
"sexuses_datacoding_9_0_0","Demographics","Sex","sexuses_datacoding_9_f31_0_0"
"volume_of_grey_matter_normalised_for_head_size_2_0","Brain 
 measurement","Grey matter volume c/ head size","volume_of_grey_matter_normalised_for_head_size_f25005_2_0"
"standing_height_2_0","Physical 
 test","Height","standing_height_f50_2_0"
"body_fat_percentage_0_0","Physical 
 test","Body fat percentage","body_fat_percentage_f23099_0_0"
"body_mass_index_bmi_2_0","Physical 
 test","BMI","body_mass_index_bmi_f21001_2_0"
"alcohol_intake_frequencyuses_datacoding_100402_2_0","Substance 
 use","Alcohol intake","alcohol_intake_frequency_f1558_2_0"
"prospective_memory_resultuses_datacoding_18_2_0","Cognition","Prospective memory","prospective_memory_result_f20018_2_0"
"fluid_intelligence_score_2_0","Cognition","Fluid intelligence","fluid_intelligence_score_f20016_2_0"
"smoking_statususes_datacoding_90_2_0","Substance 
 use","Smoking Status","smoking_status_f20116_2_0"
"weight_2_0","Physical 
 test","Weight","weight_f21002_2_0"
"volume_of_hippocampus_left_2_0","Brain 
 measurement","Left hippocampus volume UKB","volume_of_hippocampus_left_f25019_2_0"
"volume_of_hippocampus_right_2_0","Brain 
 measurement","Right hippocampus volume UKB","volume_of_hippocampus_right_f25020_2_0"
"volume_of_grey_matter_2_0","Brain 
 measurement","Grey matter volume","volume_of_grey_matter_f25006_2_0"
"age_completed_full_time_educationuses_datacoding_100306_2_0","Demographics","Age completed full time education","age_completed_full_time_education_f845_2_0"
"number_in_householduses_datacoding_100291_2_0","Demographics","Number in household","number_in_household_f709_2_0"
"diabetes_diagnosed_by_doctoruses_datacoding_100349_2_0","Other","Diabetes diagnosis","diabetes_diagnosed_by_doctoruses_datacoding_100349_f2443_2_0"
"number_of_daysweek_walked_10_minutesuses_datacoding_100307_2_0","Physical 
 test","Frequency 10mn walks","number_of_daysweek_walked_10_minutes_f864_2_0"
"number_of_daysweek_of_moderate_physical_activity_10_minutesuses_datacoding_100291_2_0","Physical 
 test","Frequency moderate activity","number_of_daysweek_of_moderate_physical_activity_10_minutes_f884_2_0"
"number_of_daysweek_of_vigorous_physical_activity_10_minutesuses_datacoding_100291_2_0","Physical 
 test","Frequency vigourous activity","number_of_daysweek_of_vigorous_physical_activity_10_minutes_f904_2_0"
"cooked_vegetable_intakeuses_datacoding_100373_2_0","Diet","Cooked vegetables intake","cooked_vegetable_intake_f1289_2_0"
"salad__raw_vegetable_intakeuses_datacoding_100373_2_0","Diet","Raw vegetables intake","salad_raw_vegetable_intake_f1299_2_0"
"fresh_fruit_intakeuses_datacoding_100373_2_0","Diet","Fresh fruit intake","fresh_fruit_intake_f1309_2_0"
"dried_fruit_intakeuses_datacoding_100373_2_0","Diet","Dried fruit intake","dried_fruit_intake_f1319_2_0"
"bread_intakeuses_datacoding_100373_2_0","Diet","Bread intake","bread_intake_f1438_2_0"
"cereal_intakeuses_datacoding_100373_2_0","Diet","Cereals intake","cereal_intake_f1458_2_0"
"tea_intakeuses_datacoding_100373_2_0","Diet","Tea intake","tea_intake_f1488_2_0"
"coffee_intakeuses_datacoding_100373_2_0","Diet","Coffee intake","coffee_intake_f1498_2_0"
"water_intakeuses_datacoding_100373_2_0","Diet","water intake","water_intake_f1528_2_0"
"oily_fish_intakeuses_datacoding_100377_2_0","Diet","Oily fish intake","oily_fish_intake_f1329_2_0"
"nonoily_fish_intakeuses_datacoding_100377_2_0","Diet","Non-oily fish intake","nonoily_fish_intake_f1339_2_0"
"processed_meat_intakeuses_datacoding_100377_2_0","Diet","Processed meat intake","processed_meat_intake_f1349_2_0"
"poultry_intakeuses_datacoding_100377_2_0","Diet","Poultry intake","poultry_intake_f1359_2_0"
"beef_intakeuses_datacoding_100377_2_0","Diet","Beef intake","beef_intake_f1369_2_0"
"lambmutton_intakeuses_datacoding_100377_2_0","Diet","Lamb/mutton intake","lambmutton_intake_f1379_2_0"
"pork_intakeuses_datacoding_100377_2_0","Diet","Pork intake","pork_intake_f1389_2_0"
"cheese_intakeuses_datacoding_100377_2_0","Diet","Cheese intake","cheese_intake_f1408_2_0"
"overall_acceleration_average_0_0","Physical 
 test","Acceleration force","overall_acceleration_average_f90012_0_0"
"basophill_percentage_2_0","Blood 
 assay","% Basophill","basophill_percentage_f30220_2_0"
"eosinophill_percentage_2_0","Blood 
 assay","% eosinophill","eosinophill_percentage_f30210_2_0"
"neutrophill_percentage_2_0","Blood 
 assay","% neutrophill","neutrophill_percentage_f30200_2_0"
"monocyte_percentage_2_0","Blood 
 assay","% monocyte","monocyte_percentage_f30190_2_0"
"lymphocyte_percentage_2_0","Blood 
 assay","% lymphocyte","lymphocyte_percentage_f30180_2_0"
"platelet_count_2_0","Blood 
 assay","Platelet count","platelet_count_f30080_2_0"
"haematocrit_percentage_2_0","Blood 
 assay","Haematocrit %","haematocrit_percentage_f30030_2_0"
"haemoglobin_concentration_2_0","Blood 
 assay","Haemoglobin concentration","haemoglobin_concentration_f30020_2_0"
"red_blood_cell_erythrocyte_count_2_0","Blood 
 assay","Red blood cell count","red_blood_cell_erythrocyte_count_f30010_2_0"
"white_blood_cell_leukocyte_count_2_0","Blood 
 assay","White blood cell count","white_blood_cell_leukocyte_count_f30000_2_0"
"overall_health_ratinguses_datacoding_100508_2_0","Other","Overall health rating","overall_health_rating_f2178_2_0"
