ProbeID X Y Z hemi
10_1 141.848541 110.849533 96.777756 lh
10_2 140.551544 110.838531 96.813766 lh
10_3 139.410538 110.728531 96.948761 lh
10_4 138.067551 110.41153 97.252762 lh
10_5 143.012543 112.725533 96.306763 lh
10_6 141.924545 112.13353 96.406754 lh
10_7 140.813538 111.835533 96.495758 lh
10_8 139.687546 111.740532 96.597763 lh
10_9 138.515549 111.652534 96.760757 lh
10_10 137.306549 111.623535 96.964752 lh
10_11 142.633545 113.762535 96.044861 lh
10_12 141.87854 113.253532 96.115265 lh
10_13 140.942551 112.859535 96.211761 lh
10_14 139.923538 112.726532 96.294754 lh
10_15 138.83255 112.653534 96.414764 lh
10_16 143.529541 115.10553 95.972855 lh
10_17 142.726547 114.695534 95.922165 lh
10_18 141.800537 114.310532 95.922363 lh
10_19 140.922546 113.860535 95.993866 lh
10_20 140.171539 113.511536 96.090759 lh
10_21 138.073547 113.409531 96.296753 lh
10_22 140.009537 114.346535 95.954758 lh
10_23 145.133545 109.912529 97.200745 lh
10_24 142.085541 109.417534 97.18576 lh
10_25 141.171539 110.029533 97.036758 lh
10_26 140.960541 109.14653 97.322754 lh
10_27 140.25354 109.904533 97.133759 lh
10_28 139.973541 108.987534 97.465759 lh
10_29 139.228546 109.709534 97.31076 lh
10_30 139.159546 108.900536 97.604752 lh
10_31 138.402542 109.319534 97.578766 lh
10_32 145.72554 110.946533 97.032745 lh
10_33 144.528549 110.372536 97.041748 lh
10_34 143.312546 110.27153 96.982758 lh
10_35 137.802536 109.625534 97.581757 lh
10_36 146.007538 112.087532 96.822754 lh
10_37 145.188538 111.998535 96.73175 lh
10_38 143.004547 111.544533 96.626755 lh
10_39 143.627548 112.043533 96.542755 lh
10_40 144.249542 111.390533 96.772751 lh
10_41 136.770538 110.698532 97.417755 lh
10_42 147.209549 113.13353 96.841751 lh
10_43 146.298538 112.903534 96.704758 lh
10_44 145.445541 112.683533 96.614746 lh
10_45 144.33255 112.635536 96.467758 lh
10_46 148.203537 114.384529 96.989746 lh
10_47 147.421539 114.121536 96.771744 lh
10_48 146.432541 114.004532 96.558746 lh
10_49 143.732544 113.970535 96.110657 lh
10_50 145.238541 113.762535 96.371765 lh
10_51 137.721542 112.609535 96.568756 lh
10_52 136.487549 112.642532 96.801758 lh
10_53 135.57254 112.91153 96.999756 lh
10_54 148.400543 115.402534 97.039749 lh
10_55 147.405548 115.356529 96.712753 lh
10_56 146.505539 115.138535 96.483749 lh
10_57 144.57254 115.149536 96.114456 lh
10_58 145.67955 114.852531 96.324753 lh
10_59 139.085541 113.815529 96.107666 lh
10_60 137.04454 113.640533 96.39476 lh
10_61 147.43454 116.593529 96.804749 lh
10_62 146.449539 116.426529 96.526764 lh
10_63 145.421539 116.06353 96.28476 lh
10_64 144.448547 116.264534 96.149658 lh
10_65 143.721542 115.975533 96.021255 lh
10_66 142.782547 115.726532 95.917755 lh
10_67 141.807541 115.377533 95.861053 lh
10_68 140.839539 114.901535 95.869553 lh
10_69 139.377548 114.630531 95.957657 lh
10_70 138.71254 114.92453 95.979752 lh
10_71 137.792542 114.360535 96.13356 lh
10_72 148.504547 116.707535 97.196747 lh
10_73 146.409546 117.699532 96.796753 lh
10_74 145.41954 117.474533 96.550766 lh
10_75 144.496536 117.14653 96.323761 lh
10_76 143.83754 116.769531 96.157852 lh
10_77 142.992538 116.694534 96.061356 lh
10_78 141.946548 116.43853 95.963058 lh
10_79 140.870544 116.042534 95.895157 lh
10_80 139.746536 115.360535 95.89296 lh
10_81 137.689545 115.490532 96.058762 lh
10_82 147.442551 117.84053 97.101746 lh
10_83 143.393539 117.571533 96.344757 lh
10_84 142.231537 117.434532 96.231766 lh
10_85 141.109543 117.127533 96.118057 lh
10_86 138.737549 115.856529 95.971054 lh
10_87 144.113541 118.487534 96.794754 lh
10_88 146.627548 107.540535 98.126755 lh
10_89 147.750549 108.431534 98.154755 lh
10_90 145.259537 109.067535 97.414749 lh
10_91 144.302536 109.469536 97.233749 lh
10_92 144.214539 108.351532 97.503754 lh
10_93 143.259537 108.98053 97.305756 lh
10_94 143.191544 107.909531 97.590744 lh
10_95 142.480545 108.463531 97.447754 lh
10_96 142.24054 107.60553 97.704758 lh
10_97 141.597549 108.353531 97.521759 lh
10_98 141.196548 107.284531 97.896759 lh
10_99 140.585541 108.20253 97.661758 lh
10_100 139.576538 108.14753 97.812759 lh
10_101 138.563538 108.379532 97.898758 lh
10_102 137.542542 107.749535 98.404755 lh
10_103 148.190536 109.74353 97.817749 lh
10_104 145.842545 109.853531 97.292755 lh
10_105 146.49054 110.27253 97.285751 lh
10_106 146.632538 109.170532 97.592758 lh
10_107 136.859543 108.555534 98.257751 lh
10_108 148.597549 111.102531 97.56575 lh
10_109 146.744537 110.832535 97.197754 lh
10_110 147.11055 111.770531 97.060745 lh
10_111 147.330536 110.510536 97.378754 lh
10_112 137.565536 108.942535 97.899765 lh
10_113 137.16655 109.804535 97.660751 lh
10_114 136.195541 109.939529 97.889755 lh
10_115 136.599548 109.207535 98.062759 lh
10_116 149.54454 111.733536 97.784744 lh
10_117 135.665543 110.751534 97.732758 lh
10_118 148.479538 112.861534 97.213745 lh
10_119 136.205536 111.60453 97.229752 lh
10_120 135.70755 112.28553 97.149765 lh
10_121 135.089539 111.682533 97.599762 lh
10_122 149.199539 114.052536 97.355759 lh
10_123 149.646545 115.328529 97.544754 lh
10_124 150.234543 114.019531 97.816757 lh
10_125 135.025543 112.559532 97.333755 lh
10_126 150.811539 114.671532 98.197754 lh
10_127 150.607544 115.954529 98.152756 lh
10_128 135.717545 113.787529 96.708755 lh
10_129 150.58754 117.166534 98.421753 lh
10_130 149.584549 116.912529 97.707748 lh
10_131 136.290543 115.02153 96.343765 lh
10_132 135.137543 114.74353 96.789764 lh
10_133 149.576538 118.103531 98.066757 lh
10_134 148.507538 117.968529 97.519745 lh
10_135 146.321548 118.913536 97.294754 lh
10_136 145.296539 118.775536 97.061752 lh
10_137 141.36554 118.024536 96.461761 lh
10_138 140.466537 117.742531 96.351761 lh
10_139 139.66655 116.847534 96.079254 lh
10_140 137.971542 116.665535 96.152161 lh
10_141 136.714539 116.234535 96.282761 lh
10_142 150.592545 118.365532 98.920746 lh
10_143 148.561539 118.81353 97.907745 lh
10_144 147.427536 119.066536 97.643753 lh
10_145 142.543549 118.538536 96.74176 lh
10_146 141.313538 118.875534 96.964752 lh
10_147 140.58255 118.380531 96.673752 lh
10_148 138.573547 117.537529 96.374756 lh
10_149 137.719543 117.513535 96.462753 lh
10_150 143.126541 119.498535 97.411758 lh
10_151 142.103546 119.496536 97.426758 lh
10_152 139.494537 118.205536 96.634766 lh
10_153 146.751541 106.310532 98.671753 lh
10_154 147.467545 107.280533 98.557755 lh
10_155 147.455536 106.559532 98.91275 lh
10_156 145.762543 106.342529 98.316757 lh
10_157 145.29454 107.634529 97.80275 lh
10_158 143.958542 107.099533 97.828751 lh
10_159 143.49054 105.987534 98.161758 lh
10_160 142.915543 106.84053 97.901749 lh
10_161 142.52655 105.847534 98.247757 lh
10_162 141.970551 106.610535 98.036758 lh
10_163 141.60054 105.711533 98.392761 lh
10_164 141.228546 106.380531 98.20076 lh
10_165 140.734543 105.777534 98.503754 lh
10_166 140.630539 106.57653 98.218765 lh
10_167 140.143539 107.277534 98.038757 lh
10_168 139.807541 106.175529 98.51976 lh
10_169 138.958542 107.214531 98.275757 lh
10_170 138.83255 106.173531 98.745758 lh
10_171 138.161545 106.699532 98.694763 lh
10_172 137.051544 106.586533 99.120758 lh
10_173 136.533539 107.531532 98.840759 lh
10_174 149.482544 110.13353 98.236755 lh
10_175 136.523544 108.124535 98.562759 lh
10_176 136.061539 108.699532 98.472763 lh
10_177 149.63855 111.032532 98.007751 lh
10_178 149.973541 111.348534 98.097748 lh
10_179 135.796539 109.32653 98.294754 lh
10_180 135.107544 109.873535 98.342758 lh
10_181 150.306549 111.698532 98.203751 lh
10_182 134.598541 110.735535 98.217758 lh
10_183 150.202545 112.738533 97.919754 lh
10_184 151.084549 113.511536 98.492752 lh
10_185 151.062546 112.733536 98.60675 lh
10_186 151.367538 114.260536 98.857758 lh
10_187 134.42955 112.261536 97.740753 lh
10_188 134.435547 112.848534 97.559753 lh
10_189 134.04454 111.578529 98.225754 lh
10_190 151.342545 115.171532 98.855759 lh
10_191 134.908539 113.319534 97.169754 lh
10_192 134.149536 113.487534 97.585754 lh
10_193 151.245544 116.317535 98.919754 lh
10_194 151.51355 115.610535 99.402756 lh
10_195 134.646545 114.151535 97.132751 lh
10_196 133.979538 114.21553 97.602753 lh
10_197 151.245544 117.217529 99.296753 lh
10_198 151.482544 116.284531 99.605759 lh
10_199 134.981537 115.539536 96.868759 lh
10_200 134.261551 115.003532 97.327759 lh
10_201 135.54155 116.212532 96.689758 lh
10_202 136.11055 116.777534 96.600754 lh
10_203 134.853546 116.114532 97.050766 lh
10_204 150.091537 119.389534 99.119751 lh
10_205 149.260544 119.191536 98.45575 lh
10_206 148.000549 119.612534 98.191757 lh
10_207 147.051544 120.03553 98.231766 lh
10_208 146.247543 119.99353 98.011765 lh
10_209 145.21254 119.943535 97.840759 lh
10_210 144.152542 119.75753 97.632751 lh
10_211 136.826538 117.167534 96.503754 lh
10_212 137.178543 117.830536 96.742752 lh
10_213 136.11554 117.20153 96.762756 lh
10_214 150.887543 119.121536 99.847748 lh
10_215 149.154541 119.99353 98.999756 lh
10_216 148.371536 119.99353 98.637756 lh
10_217 142.55954 119.928535 97.822754 lh
10_218 140.969543 119.629532 97.636765 lh
10_219 140.170547 119.062531 97.182755 lh
10_220 138.029541 118.250534 96.829758 lh
10_221 137.101547 118.294533 97.084763 lh
10_222 149.912537 120.089531 99.572754 lh
10_223 147.425537 120.461533 98.730759 lh
10_224 146.361542 120.788536 98.821762 lh
10_225 145.278549 120.863533 98.820755 lh
10_226 143.976547 120.828529 98.82576 lh
10_227 146.75354 105.402534 99.133759 lh
10_228 146.410538 104.708534 99.402756 lh
10_229 146.071548 105.414536 98.817749 lh
10_230 145.556549 104.599533 99.086746 lh
10_231 147.339539 105.842529 99.236755 lh
10_232 147.81955 106.417534 99.254745 lh
10_233 145.310547 105.364532 98.605759 lh
10_234 144.588547 105.983536 98.228745 lh
10_235 144.518539 104.631531 98.78775 lh
10_236 143.815536 105.187531 98.461746 lh
10_237 143.00354 105.095535 98.501755 lh
10_238 142.557541 104.287529 98.903748 lh
10_239 142.06955 104.959534 98.638748 lh
10_240 141.692551 104.183533 99.063751 lh
10_241 140.99054 104.780533 98.886765 lh
10_242 140.144547 105.166534 98.884766 lh
10_243 140.091537 104.376534 99.294754 lh
10_244 147.882538 106.981529 98.958755 lh
10_245 139.095551 104.972534 99.252762 lh
10_246 138.099548 105.816536 99.138763 lh
10_247 137.926544 104.888535 99.694763 lh
10_248 137.367538 105.59153 99.525757 lh
10_249 136.440536 105.741531 99.820755 lh
10_250 148.285538 107.739532 98.784744 lh
10_251 136.161545 106.453529 99.544754 lh
10_252 149.006546 108.895531 98.559753 lh
10_253 149.75354 109.470535 98.766754 lh
10_254 135.915543 107.069534 99.322754 lh
10_255 135.620544 108.004532 98.984756 lh
